filter,modes,min_trades,min_total_return,min_pf,min_win_rate,worst_max_dd,worst_trade_mae,avg_trades
atr_stable_le_1p0,4,1204,-0.8687705867273947,0.5580503217542733,0.3826157595450853,-0.8787036595061177,-0.03674876276479539,1235.75
atr_stable_le_1p25,4,1718,-0.9495646156184826,0.5657347734814561,0.3781038374717833,-0.9512524848795786,-0.03892276407195153,1774.5
atr_stable_le_1p50,4,1917,-0.9645014852238581,0.5633875780782596,0.3774259448416752,-0.9669334207579265,-0.03892276407195153,1964.25
base,4,1997,-0.9692376459683392,0.5647386042148472,0.37904015670910873,-0.96993056099888,-0.03892276407195153,2049.25
body_atr_ge_0p10,4,1915,-0.9623927477101142,0.5744342344331427,0.37627291242362526,-0.9633792737678974,-0.03892276407195153,1967.75
body_atr_ge_0p20,4,1825,-0.9614546304066726,0.559250495902423,0.3780748663101604,-0.9625424517225969,-0.03892276407195153,1871.25
body_atr_ge_0p30,4,1724,-0.9640667156032146,0.5404258440786934,0.3674971687429219,-0.9649726877172999,-0.038936032438778266,1765.5
close_pos_ge_0p60,4,1813,-0.9562307702301689,0.5692156387974326,0.3793103448275862,-0.9577986496457271,-0.03892276407195153,1858.25
combo_body_slope_depth,4,1293,-0.8866034979145196,0.5671165583346958,0.3767019667170953,-0.8878401240374172,-0.03867408839560537,1322.25
combo_ret_spread,4,690,-0.6600706997850225,0.6342980910690857,0.4230769230769231,-0.664659159238226,-0.03674876276479539,705.0
combo_slope_atr_htf,4,798,-0.7508623124159113,0.5793700841651681,0.403680981595092,-0.7548657834059874,-0.03892276407195153,816.25
depth_atr_le_0p25,4,1557,-0.9483289700647616,0.5286105521527006,0.37335009428032684,-0.9487116628014404,-0.038936032438778266,1594.0
depth_atr_le_0p50,4,1786,-0.9565592075791,0.56143825297832,0.3746571585298958,-0.9569287457560514,-0.038936032438778266,1829.25
depth_atr_le_0p75,4,1910,-0.9593648348649167,0.5744042057902772,0.3830769230769231,-0.9596657923370328,-0.038936032438778266,1954.0
htf_1h_same,4,1116,-0.8469204496012153,0.5943948922684941,0.3989455184534271,-0.8476536069865308,-0.03892276407195153,1140.5
htf_1h_same_25bps,4,1038,-0.8268822578063042,0.6027943391590027,0.40586565752128667,-0.8277113858700319,-0.03892276407195153,1059.25
ret192_same_ge_250,4,879,-0.7467778586936349,0.633171761900107,0.4166666666666667,-0.7501959210004228,-0.03674876276479539,903.25
slope12_same_ge_0,4,1681,-0.9529982291027916,0.546775572430365,0.37216074548631334,-0.9540344625230852,-0.03892276407195153,1719.0
slope3_same_ge_0,4,1724,-0.9419045972155204,0.5800651095747148,0.3841775754126352,-0.943768860995644,-0.038936032438778266,1764.25
slope6_same_ge_0,4,1696,-0.944483498291849,0.5641551971614005,0.3827446438911407,-0.9450655456069356,-0.03892276407195153,1732.75
slope6_same_ge_5,4,1535,-0.9247305179556203,0.5715123267884519,0.3770913770913771,-0.9269413486946061,-0.03892276407195153,1563.75
spread_abs_ge_50,4,1071,-0.8478583021520173,0.5890019010451041,0.3979871912168344,-0.8506525163558316,-0.03674876276479539,1096.5
