filter,trade_no,signal_ts,entry_ts,exit_ts,side,reason,bars_held,entry_price,exit_price,net_ret_1x,mae_1x,mfe_1x
base,1,2026-03-25 08:15:00+00:00,2026-03-25 08:20:00+00:00,2026-03-25 09:05:00+00:00,1,stop_arm_deadline,10,40.726652859000005,40.687738728,-0.0017844218524893378,-0.005390588493057195,0.004059924629024714
base,2,2026-03-25 09:05:00+00:00,2026-03-25 09:10:00+00:00,2026-03-25 09:55:00+00:00,1,stop_arm_deadline,10,40.717643202000005,40.619720776,-0.003233239294276153,-0.008117543337823678,0.0020226317518285963
base,3,2026-03-25 09:55:00+00:00,2026-03-25 10:00:00+00:00,2026-03-25 10:40:00+00:00,1,stop_market,9,40.654575603,40.73416169471429,0.0011274827134536334,-0.0019046683298123018,0.003404890961149043
base,4,2026-03-25 10:45:00+00:00,2026-03-25 10:50:00+00:00,2026-03-25 11:35:00+00:00,1,stop_market,10,40.87881595500001,41.478340248857144,0.013830487852859768,-0.002171462561661134,0.01715274840083092
base,5,2026-03-25 11:50:00+00:00,2026-03-25 11:55:00+00:00,2026-03-25 12:40:00+00:00,1,stop_arm_deadline,10,41.265230133,40.8607844,-0.010626384790068565,-0.014112152665670135,0.002975140732386583
base,6,2026-03-25 13:15:00+00:00,2026-03-25 13:20:00+00:00,2026-03-25 14:05:00+00:00,1,stop_arm_deadline,10,41.02397154,40.631723944,-0.010386782111408224,-0.011261283987729425,0.005022148082350242
base,7,2026-03-25 14:30:00+00:00,2026-03-25 14:35:00+00:00,2026-03-25 15:15:00+00:00,-1,stop_market,9,40.187832137,40.20515089442857,-0.0012604466194053587,-0.0062166130609848805,0.00412642653713402
base,8,2026-03-25 15:30:00+00:00,2026-03-25 15:35:00+00:00,2026-03-25 16:20:00+00:00,-1,stop_arm_deadline,10,40.383621829,40.514301399999994,-0.004066619150440988,-0.003915540246376207,0.00318499983841547
base,9,2026-03-25 16:55:00+00:00,2026-03-25 17:00:00+00:00,2026-03-25 17:45:00+00:00,-1,stop_arm_deadline,10,40.455544573000005,40.514301399999994,-0.002282304946029704,-0.005171868982449161,-0.0002584423744718123
base,10,2026-03-25 17:45:00+00:00,2026-03-25 17:50:00+00:00,2026-03-25 18:35:00+00:00,-1,stop_arm_deadline,10,40.48251560200001,40.566287671999994,-0.0028995202315296484,-0.006305708209862552,0.002581746723141931
base,11,2026-03-25 18:55:00+00:00,2026-03-25 19:00:00+00:00,2026-03-25 19:35:00+00:00,-1,stop_market,8,40.362644362,40.33086769642858,-4.171708631157771e-05,-0.004684838370003789,0.002815582670470107
