label,trades,equity_multiple,annualized_multiple,total_return,max_dd,win_rate,profit_factor,avg_trade,avg_win,avg_loss_abs,payoff_ratio,worst_trade,best_trade,long_trades,short_trades,long_short_ratio,long_share,short_share,long_win_rate,short_win_rate,long_payoff_ratio,short_payoff_ratio,mode,pullback_buffer,signal_count,armed_rate,deadline_exit_rate,avg_retry_count,avg_reject_count
5m_conservative_pb_p0p0100,8354,1.1909543184131447e-07,3.5007653174093644e-07,-0.9999998809045682,-0.9999998841481303,0.4037586784773761,0.5810198017588023,-0.0018602688553407266,0.006389270584806107,0.007446636358174549,0.8580075993360791,-0.06765699824183452,0.07755944026126306,4204,4150,1.0130120481927711,0.5032319846779986,0.49676801532200143,0.4148430066603235,0.3925301204819277,0.86027354868468,0.8558520596880309,5m_conservative,0.01,21451,0.42937514962892026,0.5706248503710797,1.932726837443141,1.932726837443141
5m_optimistic_pb_p0p0100,8774,4.5765453047361214e-08,1.4351447870098124e-07,-0.9999999542345469,-0.9999999559748677,0.3958285844540688,0.5658796677582992,-0.0018802317380162904,0.0061918180966293035,0.007168711095821261,0.8637282230886105,-0.06765699824183452,0.07755944026126306,4419,4355,1.0146957520091848,0.503647139275131,0.49635286072486895,0.4037112468884363,0.3878300803673938,0.8701606093598327,0.8581151567058486,5m_optimistic,0.01,21451,0.561431502165489,0.4385684978345111,1.7410531114656942,1.4582858445406883
1m_conservative_pb_p0p0100,8401,8.583647858647312e-08,2.5796343486031615e-07,-0.9999999141635214,-0.9999999165551683,0.4010236876562314,0.5725684388817985,-0.00188924733003806,0.006310730138621268,0.007379256092341969,0.8551986893598131,-0.06765699824183452,0.07755944026126306,4229,4172,1.0136625119846596,0.5033924532793715,0.4966075467206285,0.4090801607945141,0.39285714285714285,0.8575966279895546,0.8531272402214688,1m_conservative,0.01,21451,0.45125580288060946,0.5487441971193906,3.7087251517676467,1.859897631234377
1m_optimistic_pb_p0p0100,8444,1.0044492948688414e-07,2.986745423071802e-07,-0.9999998995550705,-0.9999999033746851,0.4015869256276646,0.5767042369351861,-0.001860913285310076,0.006313290768058647,0.007346511137076024,0.8593590413546139,-0.06765699824183452,0.07755944026126306,4251,4193,1.0138325781063677,0.5034343912837518,0.4965656087162482,0.41025641025641024,0.3927975196756499,0.8607394504792878,0.8584764173653396,1m_optimistic,0.01,21451,0.46281383230696355,0.5371861676930365,3.626480341070583,1.8175035528185695
5m_conservative_pb_p0p0075,8203,1.8294374644813359e-07,5.223696815359348e-07,-0.9999998170562535,-0.9999998245555142,0.4029013775448007,0.5804077675067276,-0.001843800767510788,0.006330252233343111,0.007359367359552872,0.8601625552943879,-0.08944334718950661,0.07755944026126306,4128,4075,1.0130061349693251,0.5032305254175302,0.49676947458246984,0.41375968992248063,0.39190184049079757,0.864111785873605,0.8566810903413608,5m_conservative,0.0075,20771,0.4308179934170425,0.5691820065829575,1.930513226868219,1.930513226868219
5m_optimistic_pb_p0p0075,8605,8.75743876131647e-08,2.6282982478687024e-07,-0.9999999124256124,-0.9999999154158453,0.3979081929110982,0.5695962235861456,-0.0018430610003159782,0.006129821895974504,0.00711215017941241,0.8618802670560223,-0.08944334718950661,0.07755944026126306,4324,4281,1.0100443821537024,0.5024985473561883,0.49750145264381174,0.406567992599445,0.38916141088530715,0.8687293792042721,0.8560478156356764,5m_optimistic,0.0075,20771,0.5640906449738524,0.4359093550261476,1.7401510749564206,1.452643811737362
1m_conservative_pb_p0p0075,8248,1.3882184443615893e-07,4.03853785654173e-07,-0.9999998611781555,-0.9999998670723036,0.4007032007759457,0.5733732036008451,-0.0018675382103964498,0.006263772089790789,0.007304313557780392,0.8575442497425044,-0.08944334718950661,0.07755944026126306,4151,4097,1.0131803758847937,0.5032735208535403,0.49672647914645973,0.40857624668754516,0.39272638515987307,0.86472294661005,0.8509565823564663,1m_conservative,0.0075,20771,0.453443258971872,0.546556741028128,3.6988360814742967,1.8566925315227933
1m_optimistic_pb_p0p0075,8287,1.6586511610246876e-07,4.767535068171178e-07,-0.9999998341348839,-0.9999998405567831,0.4012308434898033,0.5779291993826845,-0.0018371675236003278,0.006269656940844197,0.007269491454329478,0.8624615601013175,-0.08944334718950661,0.07755944026126306,4171,4116,1.0133624878522838,0.503318450585254,0.496681549414746,0.4097338767681611,0.39261418853255586,0.8684895730331563,0.8571442694847631,1m_optimistic,0.0075,20771,0.46530710751779897,0.5346928924822011,3.612042958851213,1.8139254253650297
5m_conservative_pb_p0p0050,7837,6.31690398463614e-07,1.6586999325478462e-06,-0.9999993683096016,-0.9999993842475784,0.4032155161413806,0.5916492162196337,-0.001774415067543715,0.0063760084041874065,0.007281222459177314,0.8756782861579833,-0.08944334718950661,0.07755944026126306,3941,3896,1.0115503080082136,0.5028709965548042,0.49712900344519584,0.41106318193351943,0.3952772073921971,0.8770238547208417,0.8749436698920455,5m_conservative,0.005,19229,0.4289906852111777,0.5710093147888222,1.9345412785504656,1.9345412785504656
5m_optimistic_pb_p0p0050,8236,2.508206713704831e-07,7.010605023332542e-07,-0.9999997491793287,-0.9999997541731638,0.397887323943662,0.5740708573720421,-0.0018004818240893417,0.006098974007891266,0.007020590063936175,0.8687266956691965,-0.08944334718950661,0.07755944026126306,4151,4085,1.016156670746634,0.5040067994171928,0.4959932005828072,0.40448084798843653,0.391187270501836,0.8686000564716223,0.8698073404976885,5m_optimistic,0.005,19229,0.5653229723166586,0.43467702768334143,1.7404079650315687,1.452525497814473
1m_conservative_pb_p0p0050,7892,4.5469063652148106e-07,1.2207764429880655e-06,-0.9999995453093635,-0.9999995574591379,0.40027876330461226,0.5831377075716812,-0.0018039701877524152,0.0063044226339077445,0.007215846993927029,0.8736912851968239,-0.08944334718950661,0.07755944026126306,3968,3924,1.0112130479102956,0.5027876330461226,0.4972123669538773,0.40599798387096775,0.3944954128440367,0.8790834076102274,0.8689631676221334,1m_conservative,0.005,19229,0.4513431322858591,0.5486568677141409,3.7184490623416115,1.8597313735428282
1m_optimistic_pb_p0p0050,7927,5.343820707516343e-07,1.419151673249573e-06,-0.9999994656179293,-0.9999994778652865,0.4009082881291788,0.5872951245997382,-0.0017755659055213031,0.006302437660949899,0.007181313501698494,0.8776162827955183,-0.08944334718950661,0.07755944026126306,3987,3940,1.0119289340101523,0.5029645515327362,0.4970354484672638,0.40682217205919236,0.3949238578680203,0.8824798386791364,0.8735152974722187,1m_optimistic,0.005,19229,0.463100794752113,0.5368992052478869,3.6364324460703923,1.818594676422354
5m_conservative_pb_p0p0025,7062,1.9362778407642457e-06,4.713378990079884e-06,-0.9999980637221593,-0.9999981139718284,0.40087793826111584,0.5808436632250928,-0.0018171786014215096,0.006281576851229178,0.007236128420956868,0.8680853193590137,-0.06765699824183452,0.07755944026126306,3581,3481,1.0287273771904626,0.5070801472670632,0.49291985273293687,0.40686958950013963,0.3947141625969549,0.853128517481446,0.8840244673330565,5m_conservative,0.0025,16038,0.4306145567827811,0.569385443217219,1.9331634097989239,1.9331634097989239
5m_optimistic_pb_p0p0025,7389,9.464682476832921e-07,2.4182093075956594e-06,-0.9999990535317523,-0.9999990777042457,0.39531736364866693,0.5646648648288749,-0.0018336166229261494,0.006016302891575534,0.006965580566941238,0.8637188004297888,-0.06765699824183452,0.07755944026126306,3750,3639,1.030502885408079,0.5075111652456354,0.4924888347543646,0.39866666666666667,0.3918658972245122,0.8601130368419966,0.8677590039448118,5m_optimistic,0.0025,16038,0.5634050615780214,0.4365949384219786,1.74922181621329,1.4590607660035186
1m_conservative_pb_p0p0025,7107,1.5119782587431327e-06,3.7426140758655612e-06,-0.9999984880217413,-0.9999985397809986,0.39848037146475307,0.5731546351710314,-0.001840811718192319,0.0062030270630646905,0.007169502110828541,0.8651963507613557,-0.06765699824183452,0.07755944026126306,3603,3504,1.0282534246575343,0.5069649641198818,0.4930350358801182,0.40188731612545103,0.3949771689497717,0.8537173606587642,0.8772200306660713,1m_conservative,0.0025,16038,0.4523709019276769,0.5476290980723231,3.741381736316308,1.8584494160686647
1m_optimistic_pb_p0p0025,7139,1.7691523031826417e-06,4.332924459659413e-06,-0.9999982308476968,-0.9999982813236292,0.3994957276929542,0.5781482361652652,-0.0018103429922879302,0.006210521387418541,0.007146360069713369,0.8690468052035386,-0.06765699824183452,0.07755944026126306,3621,3518,1.0292779988629903,0.5072138955035719,0.49278610449642807,0.40292736813035074,0.39596361569073335,0.8550432266121974,0.8836756208596788,1m_optimistic,0.0025,16038,0.4637904468412943,0.5362095531587057,3.647569687631321,1.8159406079282814
5m_conservative_pb_p0p0000,5428,2.5940408741440602e-05,5.298139512470307e-05,-0.9999740595912585,-0.9999757574606369,0.4023581429624171,0.5711874395731696,-0.001898565910220399,0.006285271385910194,0.007408276346332981,0.8484121126260817,-0.06765699824183452,0.07755944026126306,2743,2685,1.0216014897579144,0.5053426676492262,0.49465733235077375,0.4090411957710536,0.39553072625698327,0.8639349373433606,0.8332201500248053,5m_conservative,0.0,9975,0.43109801031687545,0.5689019896831246,1.929439941046426,1.929439941046426
5m_optimistic_pb_p0p0000,5684,1.4036432077321954e-05,2.9884171772217127e-05,-0.9999859635679227,-0.9999867857305061,0.3942646023926812,0.5545699151603736,-0.0019208591089052804,0.006065749674416581,0.007119229798253028,0.8520233011589318,-0.06765699824183452,0.07755944026126306,2867,2817,1.017749378771743,0.5043983110485574,0.49560168895144263,0.4035577258458319,0.384806531771388,0.8438590976764047,0.8611928221277425,5m_optimistic,0.0,9975,0.5591133004926109,0.4408866995073892,1.7505277973258269,1.4662209711470795
1m_conservative_pb_p0p0000,5458,2.1118948377915513e-05,4.373794848059215e-05,-0.9999788810516221,-0.9999802760819162,0.4003297911322829,0.5635252943616792,-0.001926010456005054,0.0062114796155101045,0.007358462581352019,0.8441273631330782,-0.06765699824183452,0.07755944026126306,2759,2699,1.0222304557243425,0.5054965188713815,0.4945034811286185,0.4073939833272925,0.39310855872545386,0.8540392274630113,0.8347052788615048,1m_conservative,0.0,9975,0.4521802858189813,0.5478197141810187,3.6385122755588126,1.8537925980212533
1m_optimistic_pb_p0p0000,5478,2.4452484841714e-05,5.0142329518224564e-05,-0.9999755475151583,-0.9999771627450699,0.4019715224534502,0.5684016865106947,-0.0018921351946726832,0.006199155010383143,0.007330786303199219,0.8456330267979272,-0.06765699824183452,0.07755944026126306,2770,2708,1.0228951255539143,0.5056589996349032,0.49434100036509676,0.4086642599277978,0.3951255539143279,0.851957796057644,0.8398037370893287,1m_optimistic,0.0,9975,0.4623950346841913,0.5376049653158087,3.5649872216137277,1.8181818181818181
5m_conservative_pb_m0p0025,2145,0.0030294647778955452,0.004484331821819187,-0.9969705352221044,-0.997119083095493,0.3967365967365967,0.5270356441067189,-0.002635114332978596,0.007401313081855036,0.009235577802857591,0.8013914494407688,-0.07059056621320198,0.07755944026126306,1091,1054,1.0351043643263758,0.5086247086247087,0.4913752913752914,0.39596700274977087,0.39753320683111953,0.8131259910725613,0.7900799538691692,5m_conservative,-0.0025,2777,0.41631701631701634,0.5836829836829837,1.9580419580419581,1.9580419580419581
5m_optimistic_pb_m0p0025,2193,0.0038404758920776443,0.005594352545591635,-0.9961595241079223,-0.9963668571819314,0.399452804377565,0.5382684676062601,-0.002470477831409393,0.007209827789628104,0.008909314372053924,0.8092460865724254,-0.07059056621320198,0.07755944026126306,1113,1080,1.0305555555555554,0.5075239398084815,0.49247606019151846,0.39622641509433965,0.4027777777777778,0.8337891674073259,0.7855123543616103,5m_optimistic,-0.0025,2777,0.540811673506612,0.45918832649338803,1.7751937984496124,1.5116279069767442
