config_id,modes,min_trades,min_pf,min_total_return,worst_max_dd,avg_trades
pbm0p0060__long__ret0_spread125__deadline9__maxholdnone,4,109,0.9112015907612078,-0.07224198220381106,-0.15223493194896542,109.25
pbm0p0060__long__ret0_spread125_close0p55__deadline9__maxholdnone,4,109,0.9112015907612078,-0.07224198220381106,-0.15223493194896542,109.25
pbm0p0060__long__ret0_spread125_close0p55_wick0p25__deadline9__maxholdnone,4,61,1.0983505707780794,0.029775152697207874,-0.11912378507816535,61.0
pbm0p0060__long__ret0_spread125_close0p55_wick0p5__deadline9__maxholdnone,4,83,1.0155114656212931,-0.003668411297616081,-0.12016689100737732,83.0
pbm0p0060__long__ret0_spread125_close0p6__deadline9__maxholdnone,4,108,0.8973711449582105,-0.08098501645319856,-0.16022412620353121,108.25
pbm0p0060__long__ret0_spread125_close0p6_wick0p25__deadline9__maxholdnone,4,60,1.0748154208832885,0.02007072626650319,-0.1191237850781659,60.0
pbm0p0060__long__ret0_spread125_close0p6_wick0p5__deadline9__maxholdnone,4,82,0.9974921020434317,-0.013057671251912262,-0.12016689100737732,82.0
pbm0p0060__long__ret0_spread125_close0p7__deadline9__maxholdnone,4,105,0.8857132493637154,-0.08691875974373087,-0.16022412620353133,105.25
pbm0p0060__long__ret0_spread125_close0p7_wick0p25__deadline9__maxholdnone,4,59,1.1075864064905554,0.03241854663378385,-0.11912378507816557,59.0
pbm0p0060__long__ret0_spread125_close0p7_wick0p5__deadline9__maxholdnone,4,80,1.010509651463277,-0.006291126252411905,-0.12472972442600705,80.0
pbm0p0060__long__ret0_spread125_wick0p25__deadline9__maxholdnone,4,61,1.0983505707780794,0.029775152697207874,-0.11912378507816535,61.0
pbm0p0060__long__ret0_spread125_wick0p5__deadline9__maxholdnone,4,83,1.0155114656212931,-0.003668411297616081,-0.12016689100737732,83.0
pbm0p0060__long__ret0_spread150__deadline9__maxholdnone,4,117,0.8229713194415897,-0.1404435973033742,-0.18052236203073457,117.5
pbm0p0060__long__ret0_spread150_close0p55__deadline9__maxholdnone,4,116,0.8329817626403825,-0.1323981075876992,-0.18052236203073457,116.5
pbm0p0060__long__ret0_spread150_close0p55_wick0p25__deadline9__maxholdnone,4,63,1.058969483096363,0.0145080647514364,-0.11758364118039222,63.0
pbm0p0060__long__ret0_spread150_close0p55_wick0p5__deadline9__maxholdnone,4,88,0.9200490645866757,-0.05774312173192009,-0.14457425446516803,88.0
pbm0p0060__long__ret0_spread150_close0p6__deadline9__maxholdnone,4,115,0.8205028656569391,-0.1405742407115198,-0.18824498034061588,115.5
pbm0p0060__long__ret0_spread150_close0p6_wick0p25__deadline9__maxholdnone,4,62,1.0364867063616106,0.004947512768850082,-0.117583641180392,62.0
pbm0p0060__long__ret0_spread150_close0p6_wick0p5__deadline9__maxholdnone,4,87,0.9038480298858927,-0.0666227907839726,-0.1445742544651678,87.0
pbm0p0060__long__ret0_spread150_close0p7__deadline9__maxholdnone,4,112,0.8087772292484788,-0.14612323819707562,-0.1882449803406162,112.5
pbm0p0060__long__ret0_spread150_close0p7_wick0p25__deadline9__maxholdnone,4,61,1.0666348542009518,0.01711226864968296,-0.1175836411803921,61.0
pbm0p0060__long__ret0_spread150_close0p7_wick0p5__deadline9__maxholdnone,4,85,0.913577721241111,-0.06022349195596555,-0.1490105107721753,85.0
pbm0p0060__long__ret0_spread150_wick0p25__deadline9__maxholdnone,4,64,1.0362598035571466,0.00510027729406648,-0.1175836411803921,64.0
pbm0p0060__long__ret0_spread150_wick0p5__deadline9__maxholdnone,4,89,0.9057455952659883,-0.06648090583535449,-0.14457425446516792,89.0
pbm0p0060__long__ret0_spread175__deadline9__maxholdnone,4,124,0.7582309003353724,-0.20109718867071247,-0.26487725410844,124.5
pbm0p0060__long__ret0_spread175_close0p55__deadline9__maxholdnone,4,123,0.7664696734578974,-0.19361941951884643,-0.26487725410844,123.5
pbm0p0060__long__ret0_spread175_close0p55_wick0p25__deadline9__maxholdnone,4,66,0.9814960406911563,-0.01988749402771428,-0.13599628390295426,66.0
pbm0p0060__long__ret0_spread175_close0p55_wick0p5__deadline9__maxholdnone,4,91,0.8936090490147585,-0.07601627207384964,-0.15842655804690475,91.0
pbm0p0060__long__ret0_spread175_close0p6__deadline9__maxholdnone,4,122,0.7553223999178539,-0.2012186133796925,-0.2718049262185671,122.5
pbm0p0060__long__ret0_spread175_close0p6_wick0p25__deadline9__maxholdnone,4,65,0.96134064547668,-0.02912390809646448,-0.13599628390295393,65.0
pbm0p0060__long__ret0_spread175_close0p6_wick0p5__deadline9__maxholdnone,4,90,0.8783034886333224,-0.08472373805546962,-0.16635740346697347,90.0
pbm0p0060__long__ret0_spread175_close0p7__deadline9__maxholdnone,4,119,0.7439393656145601,-0.20637605235328604,-0.2718049262185672,119.5
pbm0p0060__long__ret0_spread175_close0p7_wick0p25__deadline9__maxholdnone,4,64,0.9863331550973002,-0.01737158223020807,-0.13599628390295404,64.0
pbm0p0060__long__ret0_spread175_close0p7_wick0p5__deadline9__maxholdnone,4,88,0.8869836786137116,-0.07844854057632455,-0.16635740346697336,88.0
pbm0p0060__long__ret0_spread175_wick0p25__deadline9__maxholdnone,4,67,0.9625846846224161,-0.0289763228511265,-0.13599628390295426,67.0
pbm0p0060__long__ret0_spread175_wick0p5__deadline9__maxholdnone,4,92,0.8804732108983296,-0.08458460467604301,-0.15842655804690475,92.0
pbm0p0060__long__ret0_spread200__deadline9__maxholdnone,4,132,0.7864597547866055,-0.18730187146429922,-0.25504458613278236,132.5
pbm0p0060__long__ret0_spread200_close0p55__deadline9__maxholdnone,4,131,0.7947102017238195,-0.17969497747273633,-0.25504458613278236,131.5
pbm0p0060__long__ret0_spread200_close0p55_wick0p25__deadline9__maxholdnone,4,70,0.9825907670546307,-0.020388661064518532,-0.1468752872857827,70.0
pbm0p0060__long__ret0_spread200_close0p55_wick0p5__deadline9__maxholdnone,4,97,0.8936722054721747,-0.07952760217532329,-0.1648325142639625,97.0
pbm0p0060__long__ret0_spread200_close0p6__deadline9__maxholdnone,4,130,0.7839478156789648,-0.18742539291440163,-0.26206491963868805,130.5
pbm0p0060__long__ret0_spread200_close0p6_wick0p25__deadline9__maxholdnone,4,69,0.9634635737135595,-0.029620352220091517,-0.1468752872857827,69.0
pbm0p0060__long__ret0_spread200_close0p6_wick0p5__deadline9__maxholdnone,4,96,0.8790830144828142,-0.08820197797744556,-0.17270299103883302,96.0
pbm0p0060__long__ret0_spread200_close0p7__deadline9__maxholdnone,4,127,0.7733558189259789,-0.1926718896627384,-0.26206491963868817,127.5
pbm0p0060__long__ret0_spread200_close0p7_wick0p25__deadline9__maxholdnone,4,68,0.9872020149809526,-0.017874035743873584,-0.1468752872857828,68.0
pbm0p0060__long__ret0_spread200_close0p7_wick0p5__deadline9__maxholdnone,4,94,0.8873639061493933,-0.08195062755224236,-0.17270299103883302,94.0
pbm0p0060__long__ret0_spread200_wick0p25__deadline9__maxholdnone,4,71,0.9646064554913878,-0.029472842440437463,-0.1468752872857828,71.0
pbm0p0060__long__ret0_spread200_wick0p5__deadline9__maxholdnone,4,98,0.8811416778154915,-0.08806337333376257,-0.1648325142639625,98.0
pbm0p0060__long__ret0_spread225__deadline9__maxholdnone,4,138,0.7876848053471568,-0.18883779044780935,-0.2581812303636569,138.5
pbm0p0060__long__ret0_spread225_close0p55__deadline9__maxholdnone,4,137,0.7958221238096655,-0.18124527273259927,-0.2581812303636569,137.5
pbm0p0060__long__ret0_spread225_close0p55_wick0p25__deadline9__maxholdnone,4,74,0.9670418995408,-0.02829934133157852,-0.1468752872857828,74.0
pbm0p0060__long__ret0_spread225_close0p55_wick0p5__deadline9__maxholdnone,4,102,0.8975061689912146,-0.07827995779919894,-0.1656448966734183,102.0
pbm0p0060__long__ret0_spread225_close0p6__deadline9__maxholdnone,4,136,0.7852238181858787,-0.18896107845460342,-0.26517200466617974,136.5
pbm0p0060__long__ret0_spread225_close0p6_wick0p25__deadline9__maxholdnone,4,73,0.9483080890399254,-0.037456483577647526,-0.1468752872857827,73.0
pbm0p0060__long__ret0_spread225_close0p6_wick0p5__deadline9__maxholdnone,4,101,0.8831469630877469,-0.08696609119037335,-0.17350771769420947,101.0
pbm0p0060__long__ret0_spread225_close0p7__deadline9__maxholdnone,4,132,0.7776583760397678,-0.19157760548981984,-0.26278272234155275,132.5
pbm0p0060__long__ret0_spread225_close0p7_wick0p25__deadline9__maxholdnone,4,72,0.9711809880527525,-0.025805022428502467,-0.14687528728578259,72.0
pbm0p0060__long__ret0_spread225_close0p7_wick0p5__deadline9__maxholdnone,4,99,0.8913696254123485,-0.08070626743971299,-0.1735077176942097,99.0
pbm0p0060__long__ret0_spread225_wick0p25__deadline9__maxholdnone,4,75,0.9496996744852653,-0.037310164987453986,-0.1468752872857827,75.0
pbm0p0060__long__ret0_spread225_wick0p5__deadline9__maxholdnone,4,103,0.8851175251194237,-0.08682729867652161,-0.1656448966734183,103.0
pbm0p0060__long__ret0_spread250__deadline9__maxholdnone,4,141,0.7667093885677577,-0.20880849894696862,-0.2581812303636569,141.5
pbm0p0060__long__ret0_spread250_close0p55__deadline9__maxholdnone,4,140,0.7744169764064406,-0.20140290803416594,-0.2581812303636569,140.5
pbm0p0060__long__ret0_spread250_close0p55_wick0p25__deadline9__maxholdnone,4,75,0.9437977244328477,-0.040452276311641056,-0.14687528728578303,75.0
pbm0p0060__long__ret0_spread250_close0p55_wick0p5__deadline9__maxholdnone,4,103,0.8808775923876895,-0.08980779164675168,-0.1656448966734183,103.0
pbm0p0060__long__ret0_spread250_close0p6__deadline9__maxholdnone,4,139,0.7641037323401481,-0.20892875161900926,-0.26517200466617974,139.5
pbm0p0060__long__ret0_spread250_close0p6_wick0p25__deadline9__maxholdnone,4,74,0.9255142066979104,-0.049494891359105786,-0.1468752872857828,74.0
pbm0p0060__long__ret0_spread250_close0p6_wick0p5__deadline9__maxholdnone,4,102,0.866784427168488,-0.09838528868640106,-0.17350771769420947,102.0
pbm0p0060__long__ret0_spread250_close0p7__deadline9__maxholdnone,4,135,0.7563913188066844,-0.211480860097635,-0.26278272234155275,135.5
pbm0p0060__long__ret0_spread250_close0p7_wick0p25__deadline9__maxholdnone,4,73,0.9472881341869738,-0.037989153533810716,-0.1468752872857828,73.0
pbm0p0060__long__ret0_spread250_close0p7_wick0p5__deadline9__maxholdnone,4,100,0.8745568630152706,-0.09220375574510675,-0.1735077176942097,100.0
pbm0p0060__long__ret0_spread250_wick0p25__deadline9__maxholdnone,4,76,0.9272720447645654,-0.049350402756672906,-0.14687528728578259,76.0
pbm0p0060__long__ret0_spread250_wick0p5__deadline9__maxholdnone,4,104,0.8689407051511159,-0.09824823203264466,-0.1656448966734183,104.0
pbm0p0060__long__ret0_spread300__deadline9__maxholdnone,4,145,0.7588334425980676,-0.21785070663863693,-0.25818123036365725,145.5
pbm0p0060__long__ret0_spread300_close0p55__deadline9__maxholdnone,4,144,0.766326778582416,-0.2105297512294061,-0.25818123036365725,144.5
pbm0p0060__long__ret0_spread300_close0p55_wick0p25__deadline9__maxholdnone,4,77,0.9445298409417688,-0.04034423023594602,-0.1468752872857827,77.0
pbm0p0060__long__ret0_spread300_close0p55_wick0p5__deadline9__maxholdnone,4,105,0.881789016527479,-0.08970530305362323,-0.1656448966734183,105.0
pbm0p0060__long__ret0_spread300_close0p6__deadline9__maxholdnone,4,143,0.7561961512991608,-0.21796958499152141,-0.26517200466617985,143.5
pbm0p0060__long__ret0_spread300_close0p6_wick0p25__deadline9__maxholdnone,4,76,0.926376612550558,-0.049387863491307415,-0.14687528728578259,76.0
pbm0p0060__long__ret0_spread300_close0p6_wick0p5__deadline9__maxholdnone,4,104,0.8677733896197013,-0.0982837659283965,-0.17350771769420947,104.0
pbm0p0060__long__ret0_spread300_close0p7__deadline9__maxholdnone,4,139,0.7484924413956199,-0.22049252645446915,-0.26278272234155264,139.5
pbm0p0060__long__ret0_spread300_close0p7_wick0p25__deadline9__maxholdnone,4,75,0.9480118953359119,-0.03788083010791876,-0.1468752872857828,75.0
pbm0p0060__long__ret0_spread300_close0p7_wick0p5__deadline9__maxholdnone,4,102,0.8755200339153825,-0.09210153694003731,-0.1735077176942097,102.0
pbm0p0060__long__ret0_spread300_wick0p25__deadline9__maxholdnone,4,78,0.9281071471761344,-0.04924335861930795,-0.1468752872857827,78.0
pbm0p0060__long__ret0_spread300_wick0p5__deadline9__maxholdnone,4,106,0.8699046351816151,-0.09814669384191677,-0.1656448966734183,106.0
pbm0p0060__long__ret100_spread125__deadline9__maxholdnone,4,73,1.060824384861883,0.01607087800387208,-0.11665964011106267,73.25
pbm0p0060__long__ret100_spread125_close0p55__deadline9__maxholdnone,4,73,1.060824384861883,0.01607087800387208,-0.11665964011106267,73.25
pbm0p0060__long__ret100_spread125_close0p55_wick0p25__deadline9__maxholdnone,4,43,1.0966859028913278,0.02059444153829615,-0.10648962496176528,43.0
pbm0p0060__long__ret100_spread125_close0p55_wick0p5__deadline9__maxholdnone,4,58,0.993901686525634,-0.011798551471358332,-0.1069285841687655,58.0
pbm0p0060__long__ret100_spread125_close0p6__deadline9__maxholdnone,4,73,1.060824384861883,0.01607087800387208,-0.11665964011106267,73.25
pbm0p0060__long__ret100_spread125_close0p6_wick0p25__deadline9__maxholdnone,4,43,1.0966859028913278,0.02059444153829615,-0.10648962496176528,43.0
pbm0p0060__long__ret100_spread125_close0p6_wick0p5__deadline9__maxholdnone,4,58,0.993901686525634,-0.011798551471358332,-0.1069285841687655,58.0
pbm0p0060__long__ret100_spread125_close0p7__deadline9__maxholdnone,4,70,1.0466912610212467,0.009510480335714888,-0.116659640111063,70.25
pbm0p0060__long__ret100_spread125_close0p7_wick0p25__deadline9__maxholdnone,4,42,1.1420385336978671,0.03294860140923328,-0.1064896249617655,42.0
pbm0p0060__long__ret100_spread125_close0p7_wick0p5__deadline9__maxholdnone,4,56,1.0118792211837107,-0.005023373859388558,-0.10692858416876527,56.0
pbm0p0060__long__ret100_spread125_wick0p25__deadline9__maxholdnone,4,43,1.0966859028913278,0.02059444153829615,-0.10648962496176528,43.0
pbm0p0060__long__ret100_spread125_wick0p5__deadline9__maxholdnone,4,58,0.993901686525634,-0.011798551471358332,-0.1069285841687655,58.0
pbm0p0060__long__ret100_spread150__deadline9__maxholdnone,4,79,0.9962309789707097,-0.01211445873715944,-0.1243819635968133,79.5
pbm0p0060__long__ret100_spread150_close0p55__deadline9__maxholdnone,4,78,1.016396006727681,-0.0028678020459186326,-0.1243819635968133,78.5
pbm0p0060__long__ret100_spread150_close0p55_wick0p25__deadline9__maxholdnone,4,45,1.0447244455294562,0.005463463620329234,-0.10648962496176528,45.0
pbm0p0060__long__ret100_spread150_close0p55_wick0p5__deadline9__maxholdnone,4,61,0.9748283871692122,-0.019260054720309117,-0.11473597833084459,61.0
pbm0p0060__long__ret100_spread150_close0p6__deadline9__maxholdnone,4,78,1.016396006727681,-0.0028678020459186326,-0.1243819635968133,78.5
pbm0p0060__long__ret100_spread150_close0p6_wick0p25__deadline9__maxholdnone,4,45,1.0447244455294562,0.005463463620329234,-0.10648962496176528,45.0
pbm0p0060__long__ret100_spread150_close0p6_wick0p5__deadline9__maxholdnone,4,61,0.9748283871692122,-0.019260054720309117,-0.11473597833084459,61.0
pbm0p0060__long__ret100_spread150_close0p7__deadline9__maxholdnone,4,75,1.0019261473175982,-0.009305919590585354,-0.12438196359681353,75.5
pbm0p0060__long__ret100_spread150_close0p7_wick0p25__deadline9__maxholdnone,4,44,1.0852753041102625,0.01763446501754462,-0.1064896249617654,44.0
pbm0p0060__long__ret100_spread150_close0p7_wick0p5__deadline9__maxholdnone,4,59,0.991660004310038,-0.012536033691684212,-0.1147359783308447,59.0
pbm0p0060__long__ret100_spread150_wick0p25__deadline9__maxholdnone,4,46,1.015310288362244,-0.0038604509847348645,-0.10648962496176528,46.0
pbm0p0060__long__ret100_spread150_wick0p5__deadline9__maxholdnone,4,62,0.9524637527982642,-0.028354701945616845,-0.11473597833084459,62.0
pbm0p0060__long__ret100_spread175__deadline9__maxholdnone,4,83,0.8464669501139958,-0.09241161060412784,-0.15087844805515005,83.5
pbm0p0060__long__ret100_spread175_close0p55__deadline9__maxholdnone,4,82,0.8608574257814298,-0.08391653915792319,-0.15087844805515005,82.5
pbm0p0060__long__ret100_spread175_close0p55_wick0p25__deadline9__maxholdnone,4,46,0.9460407615659002,-0.028108455674641375,-0.12981206357001418,46.0
pbm0p0060__long__ret100_spread175_close0p55_wick0p5__deadline9__maxholdnone,4,62,0.898835741920491,-0.052006468173992904,-0.12029781989767496,62.0
pbm0p0060__long__ret100_spread175_close0p6__deadline9__maxholdnone,4,82,0.8608574257814298,-0.08391653915792319,-0.15087844805515005,82.5
pbm0p0060__long__ret100_spread175_close0p6_wick0p25__deadline9__maxholdnone,4,46,0.9460407615659002,-0.028108455674641375,-0.12981206357001418,46.0
pbm0p0060__long__ret100_spread175_close0p6_wick0p5__deadline9__maxholdnone,4,62,0.898835741920491,-0.052006468173992904,-0.12029781989767496,62.0
pbm0p0060__long__ret100_spread175_close0p7__deadline9__maxholdnone,4,79,0.845269301775888,-0.08983135467960346,-0.15087844805514983,79.5
pbm0p0060__long__ret100_spread175_close0p7_wick0p25__deadline9__maxholdnone,4,45,0.9791711742249575,-0.016343837891978796,-0.1298120635700145,45.0
pbm0p0060__long__ret100_spread175_close0p7_wick0p5__deadline9__maxholdnone,4,60,0.9121346348015319,-0.045506958825282995,-0.12029781989767485,60.0
pbm0p0060__long__ret100_spread175_wick0p25__deadline9__maxholdnone,4,47,0.921856705944077,-0.037121049461038114,-0.12981206357001418,47.0
pbm0p0060__long__ret100_spread175_wick0p5__deadline9__maxholdnone,4,63,0.8797879979562441,-0.06079744970311973,-0.12029781989767496,63.0
pbm0p0060__long__ret100_spread200__deadline9__maxholdnone,4,91,0.8849487553440909,-0.07673952941099582,-0.13952098382497813,91.5
pbm0p0060__long__ret100_spread200_close0p55__deadline9__maxholdnone,4,90,0.8991962454248452,-0.06809776652294153,-0.13952098382497813,90.5
pbm0p0060__long__ret100_spread200_close0p55_wick0p25__deadline9__maxholdnone,4,50,0.9498525408528437,-0.02860541903588465,-0.12981206357001418,50.0
