config_id,pullback_buffer,side_mode,filter_name,arm_deadline_bars,max_hold_bars,mode,trades,equity_multiple,annualized_multiple,total_return,max_dd,win_rate,profit_factor,avg_trade,avg_win,avg_loss_abs,payoff_ratio,worst_trade,best_trade,long_trades,short_trades,long_short_ratio,long_share,short_share,long_win_rate,short_win_rate,long_payoff_ratio,short_payoff_ratio,signal_count
pbm0p0125__both__none__deadline9__maxholdnone,-0.0125,both,none,9,,5m_conservative,13,0.9859696305340755,0.9869122480909018,-0.014030369465924508,-0.06472551088123213,0.5384615384615384,0.8509210576606625,-0.0009633293616790571,0.010211583151740481,0.014000727294001853,0.729360906566282,-0.030534993377596048,0.021077577092108283,7,6,1.1666666666666667,0.5384615384615384,0.46153846153846156,0.42857142857142855,0.6666666666666666,2.1755328864641434,0.26580272481732425,13
pbm0p0125__both__none__deadline9__maxhold36,-0.0125,both,none,9,36.0,5m_conservative,13,0.9859696305340755,0.9869122480909018,-0.014030369465924508,-0.06472551088123213,0.5384615384615384,0.8509210576606625,-0.0009633293616790571,0.010211583151740481,0.014000727294001853,0.729360906566282,-0.030534993377596048,0.021077577092108283,7,6,1.1666666666666667,0.5384615384615384,0.46153846153846156,0.42857142857142855,0.6666666666666666,2.1755328864641434,0.26580272481732425,13
pbm0p0125__both__ret192_ge_250__deadline9__maxholdnone,-0.0125,both,ret192_ge_250,9,,5m_conservative,8,0.9957656667314531,0.9960514628623022,-0.0042343332685469415,-0.05563887933126388,0.625,0.909277641522647,-0.0004392741061224857,0.007044298757673616,0.012911895545782657,0.5455665849135882,-0.029084982812558686,0.021077577092108283,3,5,0.6,0.375,0.625,0.3333333333333333,0.8,0.7309704250862454,0.2724284251260488,8
pbm0p0125__both__ret192_ge_250__deadline9__maxhold36,-0.0125,both,ret192_ge_250,9,36.0,5m_conservative,8,0.9957656667314531,0.9960514628623022,-0.0042343332685469415,-0.05563887933126388,0.625,0.909277641522647,-0.0004392741061224857,0.007044298757673616,0.012911895545782657,0.5455665849135882,-0.029084982812558686,0.021077577092108283,3,5,0.6,0.375,0.625,0.3333333333333333,0.8,0.7309704250862454,0.2724284251260488,8
pbm0p0125__both__ret192_ge_500__deadline9__maxholdnone,-0.0125,both,ret192_ge_500,9,,5m_conservative,6,0.9940633661787537,0.9944637392349386,-0.005936633821246318,-0.05563887933126388,0.6666666666666666,0.8627166056952155,-0.0008713672536539214,0.008213771991796619,0.019041645744555004,0.43135830284760773,-0.029084982812558686,0.021077577092108283,2,4,0.5,0.3333333333333333,0.6666666666666666,0.5,0.75,0.391983612185403,0.3361173085735165,6
pbm0p0125__both__ret192_ge_500__deadline9__maxhold36,-0.0125,both,ret192_ge_500,9,36.0,5m_conservative,6,0.9940633661787537,0.9944637392349386,-0.005936633821246318,-0.05563887933126388,0.6666666666666666,0.8627166056952155,-0.0008713672536539214,0.008213771991796619,0.019041645744555004,0.43135830284760773,-0.029084982812558686,0.021077577092108283,2,4,0.5,0.3333333333333333,0.6666666666666666,0.5,0.75,0.391983612185403,0.3361173085735165,6
pbm0p0125__both__spread_le_125__deadline9__maxholdnone,-0.0125,both,spread_le_125,9,,5m_conservative,8,0.9610010898766637,0.9635899037710233,-0.03899891012333634,-0.08200585509268377,0.5,0.5231327000133952,-0.004803149101718177,0.010538295908397683,0.020144594111834037,0.5231327000133952,-0.030534993377596048,0.018973412823746587,5,3,1.6666666666666667,0.625,0.375,0.6,0.3333333333333333,1.2655793484293933,0.07938298444246548,8
pbm0p0125__both__spread_le_125__deadline9__maxhold36,-0.0125,both,spread_le_125,9,36.0,5m_conservative,8,0.9610010898766637,0.9635899037710233,-0.03899891012333634,-0.08200585509268377,0.5,0.5231327000133952,-0.004803149101718177,0.010538295908397683,0.020144594111834037,0.5231327000133952,-0.030534993377596048,0.018973412823746587,5,3,1.6666666666666667,0.625,0.375,0.6,0.3333333333333333,1.2655793484293933,0.07938298444246548,8
pbm0p0125__both__spread_le_200__deadline9__maxholdnone,-0.0125,both,spread_le_200,9,,5m_conservative,11,0.9583570997817752,0.9611178521002167,-0.04164290021822481,-0.08198532240573464,0.45454545454545453,0.5098352545714572,-0.003743270689024837,0.00856567723694758,0.014000727294001853,0.6118023054857487,-0.030534993377596048,0.018973412823746587,7,4,1.75,0.6363636363636364,0.36363636363636365,0.42857142857142855,0.5,2.1755328864641434,0.05101659823928349,11
pbm0p0125__both__spread_le_200__deadline9__maxhold36,-0.0125,both,spread_le_200,9,36.0,5m_conservative,11,0.9583570997817752,0.9611178521002167,-0.04164290021822481,-0.08198532240573464,0.45454545454545453,0.5098352545714572,-0.003743270689024837,0.00856567723694758,0.014000727294001853,0.6118023054857487,-0.030534993377596048,0.018973412823746587,7,4,1.75,0.6363636363636364,0.36363636363636365,0.42857142857142855,0.5,2.1755328864641434,0.05101659823928349,11
pbm0p0125__both__adverse_wick_le_0p25__deadline9__maxholdnone,-0.0125,both,adverse_wick_le_0p25,9,,5m_conservative,6,1.0370495864614482,1.034501255796834,0.03704958646144818,-0.0292358675866784,0.6666666666666666,3.921991113210667,0.0061422623562066596,0.012366515216527003,0.006306243364434031,1.9609955566053334,-0.011960091580630097,0.021077577092108283,4,2,2.0,0.6666666666666666,0.3333333333333333,0.5,1.0,1.650218980292278,inf,6
pbm0p0125__both__adverse_wick_le_0p25__deadline9__maxhold36,-0.0125,both,adverse_wick_le_0p25,9,36.0,5m_conservative,6,1.0370495864614482,1.034501255796834,0.03704958646144818,-0.0292358675866784,0.6666666666666666,3.921991113210667,0.0061422623562066596,0.012366515216527003,0.006306243364434031,1.9609955566053334,-0.011960091580630097,0.021077577092108283,4,2,2.0,0.6666666666666666,0.3333333333333333,0.5,1.0,1.650218980292278,inf,6
pbm0p0125__both__close_pos_ge_0p6__deadline9__maxholdnone,-0.0125,both,close_pos_ge_0p6,9,,5m_conservative,13,0.9859696305340755,0.9869122480909018,-0.014030369465924508,-0.06472551088123213,0.5384615384615384,0.8509210576606625,-0.0009633293616790571,0.010211583151740481,0.014000727294001853,0.729360906566282,-0.030534993377596048,0.021077577092108283,7,6,1.1666666666666667,0.5384615384615384,0.46153846153846156,0.42857142857142855,0.6666666666666666,2.1755328864641434,0.26580272481732425,13
pbm0p0125__both__close_pos_ge_0p6__deadline9__maxhold36,-0.0125,both,close_pos_ge_0p6,9,36.0,5m_conservative,13,0.9859696305340755,0.9869122480909018,-0.014030369465924508,-0.06472551088123213,0.5384615384615384,0.8509210576606625,-0.0009633293616790571,0.010211583151740481,0.014000727294001853,0.729360906566282,-0.030534993377596048,0.021077577092108283,7,6,1.1666666666666667,0.5384615384615384,0.46153846153846156,0.42857142857142855,0.6666666666666666,2.1755328864641434,0.26580272481732425,13
pbm0p0125__both__ret250_spread200__deadline9__maxholdnone,-0.0125,both,ret250_spread200,9,,5m_conservative,6,0.9678787935020885,0.9700182001179483,-0.0321212064979115,-0.05563887933126388,0.5,0.1695800044135307,-0.005361148121070893,0.0021895993036408702,0.012911895545782657,0.1695800044135307,-0.029084982812558686,0.003527189538593839,3,3,1.0,0.5,0.5,0.3333333333333333,0.6666666666666666,0.7309704250862454,0.052288295852377584,6
pbm0p0125__both__ret250_spread200__deadline9__maxhold36,-0.0125,both,ret250_spread200,9,36.0,5m_conservative,6,0.9678787935020885,0.9700182001179483,-0.0321212064979115,-0.05563887933126388,0.5,0.1695800044135307,-0.005361148121070893,0.0021895993036408702,0.012911895545782657,0.1695800044135307,-0.029084982812558686,0.003527189538593839,3,3,1.0,0.5,0.5,0.3333333333333333,0.6666666666666666,0.7309704250862454,0.052288295852377584,6
pbm0p0125__both__ret250_spread200_close0p6__deadline9__maxholdnone,-0.0125,both,ret250_spread200_close0p6,9,,5m_conservative,6,0.9678787935020885,0.9700182001179483,-0.0321212064979115,-0.05563887933126388,0.5,0.1695800044135307,-0.005361148121070893,0.0021895993036408702,0.012911895545782657,0.1695800044135307,-0.029084982812558686,0.003527189538593839,3,3,1.0,0.5,0.5,0.3333333333333333,0.6666666666666666,0.7309704250862454,0.052288295852377584,6
pbm0p0125__both__ret250_spread200_close0p6__deadline9__maxhold36,-0.0125,both,ret250_spread200_close0p6,9,36.0,5m_conservative,6,0.9678787935020885,0.9700182001179483,-0.0321212064979115,-0.05563887933126388,0.5,0.1695800044135307,-0.005361148121070893,0.0021895993036408702,0.012911895545782657,0.1695800044135307,-0.029084982812558686,0.003527189538593839,3,3,1.0,0.5,0.5,0.3333333333333333,0.6666666666666666,0.7309704250862454,0.052288295852377584,6
pbm0p0125__both__close0p75_wick0p25__deadline9__maxholdnone,-0.0125,both,close0p75_wick0p25,9,,5m_conservative,5,1.049602933671457,1.0461721174021494,0.04960293367145696,-0.01748489697514899,0.8,75.82223902141128,0.00976273314357401,0.012366515216527003,0.0006523951482379648,18.95555975535282,-0.0006523951482379648,0.021077577092108283,3,2,1.5,0.6,0.4,0.6666666666666666,1.0,15.95150197305786,inf,5
pbm0p0125__both__close0p75_wick0p25__deadline9__maxhold36,-0.0125,both,close0p75_wick0p25,9,36.0,5m_conservative,5,1.049602933671457,1.0461721174021494,0.04960293367145696,-0.01748489697514899,0.8,75.82223902141128,0.00976273314357401,0.012366515216527003,0.0006523951482379648,18.95555975535282,-0.0006523951482379648,0.021077577092108283,3,2,1.5,0.6,0.4,0.6666666666666666,1.0,15.95150197305786,inf,5
pbm0p0125__long__none__deadline9__maxholdnone,-0.0125,long,none,9,,5m_conservative,7,1.0150662026907187,1.0140401773126932,0.015066202690718677,-0.02938307873572421,0.42857142857142855,1.6316496648481074,0.0022003414626503917,0.013262259270803043,0.006096096893464097,2.1755328864641434,-0.011960091580630097,0.018973412823746587,7,0,inf,1.0,0.0,0.42857142857142855,0.0,2.1755328864641434,0.0,7
pbm0p0125__long__none__deadline9__maxhold36,-0.0125,long,none,9,36.0,5m_conservative,7,1.0150662026907187,1.0140401773126932,0.015066202690718677,-0.02938307873572421,0.42857142857142855,1.6316496648481074,0.0022003414626503917,0.013262259270803043,0.006096096893464097,2.1755328864641434,-0.011960091580630097,0.018973412823746587,7,0,inf,1.0,0.0,0.42857142857142855,0.0,2.1755328864641434,0.0,7
pbm0p0125__long__spread_le_125__deadline9__maxholdnone,-0.0125,long,spread_le_125,9,,5m_conservative,5,1.018553912425065,1.0172883540134483,0.0185539124250651,-0.028749439582384184,0.6,1.89836902264409,0.0037656755110455423,0.013262259270803043,0.010479200128590709,1.2655793484293933,-0.011960091580630097,0.018973412823746587,5,0,inf,1.0,0.0,0.6,0.0,1.2655793484293933,0.0,5
pbm0p0125__long__spread_le_125__deadline9__maxhold36,-0.0125,long,spread_le_125,9,36.0,5m_conservative,5,1.018553912425065,1.0172883540134483,0.0185539124250651,-0.028749439582384184,0.6,1.89836902264409,0.0037656755110455423,0.013262259270803043,0.010479200128590709,1.2655793484293933,-0.011960091580630097,0.018973412823746587,5,0,inf,1.0,0.0,0.6,0.0,1.2655793484293933,0.0,5
pbm0p0125__long__spread_le_200__deadline9__maxholdnone,-0.0125,long,spread_le_200,9,,5m_conservative,7,1.0150662026907187,1.0140401773126932,0.015066202690718677,-0.02938307873572421,0.42857142857142855,1.6316496648481074,0.0022003414626503917,0.013262259270803043,0.006096096893464097,2.1755328864641434,-0.011960091580630097,0.018973412823746587,7,0,inf,1.0,0.0,0.42857142857142855,0.0,2.1755328864641434,0.0,7
pbm0p0125__long__spread_le_200__deadline9__maxhold36,-0.0125,long,spread_le_200,9,36.0,5m_conservative,7,1.0150662026907187,1.0140401773126932,0.015066202690718677,-0.02938307873572421,0.42857142857142855,1.6316496648481074,0.0022003414626503917,0.013262259270803043,0.006096096893464097,2.1755328864641434,-0.011960091580630097,0.018973412823746587,7,0,inf,1.0,0.0,0.42857142857142855,0.0,2.1755328864641434,0.0,7
pbm0p0125__long__close_pos_ge_0p6__deadline9__maxholdnone,-0.0125,long,close_pos_ge_0p6,9,,5m_conservative,7,1.0150662026907187,1.0140401773126932,0.015066202690718677,-0.02938307873572421,0.42857142857142855,1.6316496648481074,0.0022003414626503917,0.013262259270803043,0.006096096893464097,2.1755328864641434,-0.011960091580630097,0.018973412823746587,7,0,inf,1.0,0.0,0.42857142857142855,0.0,2.1755328864641434,0.0,7
pbm0p0125__long__close_pos_ge_0p6__deadline9__maxhold36,-0.0125,long,close_pos_ge_0p6,9,36.0,5m_conservative,7,1.0150662026907187,1.0140401773126932,0.015066202690718677,-0.02938307873572421,0.42857142857142855,1.6316496648481074,0.0022003414626503917,0.013262259270803043,0.006096096893464097,2.1755328864641434,-0.011960091580630097,0.018973412823746587,7,0,inf,1.0,0.0,0.42857142857142855,0.0,2.1755328864641434,0.0,7
pbm0p0125__short__none__deadline9__maxholdnone,-0.0125,short,none,9,,5m_conservative,6,0.971335296082645,0.973247678120917,-0.028664703917354983,-0.05563887933126388,0.6666666666666666,0.5316054496346485,-0.004654278656730082,0.00792357606244356,0.029809988095077365,0.26580272481732425,-0.030534993377596048,0.021077577092108283,0,6,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.26580272481732425,6
pbm0p0125__short__none__deadline9__maxhold36,-0.0125,short,none,9,36.0,5m_conservative,6,0.971335296082645,0.973247678120917,-0.028664703917354983,-0.05563887933126388,0.6666666666666666,0.5316054496346485,-0.004654278656730082,0.00792357606244356,0.029809988095077365,0.26580272481732425,-0.030534993377596048,0.021077577092108283,0,6,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.26580272481732425,6
pbm0p0125__short__ret192_ge_250__deadline9__maxholdnone,-0.0125,short,ret192_ge_250,9,,5m_conservative,5,1.0019291974929112,1.0017986112044936,0.0019291974929112055,-0.05563887933126388,0.8,1.0897137005041952,0.0005218642874431116,0.00792357606244356,0.029084982812558686,0.2724284251260488,-0.029084982812558686,0.021077577092108283,0,5,0.0,0.0,1.0,0.0,0.8,0.0,0.2724284251260488,5
pbm0p0125__short__ret192_ge_250__deadline9__maxhold36,-0.0125,short,ret192_ge_250,9,36.0,5m_conservative,5,1.0019291974929112,1.0017986112044936,0.0019291974929112055,-0.05563887933126388,0.8,1.0897137005041952,0.0005218642874431116,0.00792357606244356,0.029084982812558686,0.2724284251260488,-0.029084982812558686,0.021077577092108283,0,5,0.0,0.0,1.0,0.0,0.8,0.0,0.2724284251260488,5
pbm0p0125__short__close_pos_ge_0p6__deadline9__maxholdnone,-0.0125,short,close_pos_ge_0p6,9,,5m_conservative,6,0.971335296082645,0.973247678120917,-0.028664703917354983,-0.05563887933126388,0.6666666666666666,0.5316054496346485,-0.004654278656730082,0.00792357606244356,0.029809988095077365,0.26580272481732425,-0.030534993377596048,0.021077577092108283,0,6,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.26580272481732425,6
pbm0p0125__short__close_pos_ge_0p6__deadline9__maxhold36,-0.0125,short,close_pos_ge_0p6,9,36.0,5m_conservative,6,0.971335296082645,0.973247678120917,-0.028664703917354983,-0.05563887933126388,0.6666666666666666,0.5316054496346485,-0.004654278656730082,0.00792357606244356,0.029809988095077365,0.26580272481732425,-0.030534993377596048,0.021077577092108283,0,6,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.26580272481732425,6
pbm0p0100__both__none__deadline9__maxholdnone,-0.01,both,none,9,,5m_conservative,37,1.0435231368960156,1.0405209090668186,0.04352313689601561,-0.09825430047133699,0.5675675675675675,1.217342193529374,0.0013301110626659737,0.013126198395275365,0.014152253561383853,0.9274988141176184,-0.030534993377596048,0.07755944026126306,20,17,1.1764705882352942,0.5405405405405406,0.4594594594594595,0.55,0.5882352941176471,1.3352887743412727,0.6253810426319525,39
pbm0p0100__both__none__deadline9__maxhold36,-0.01,both,none,9,36.0,5m_conservative,37,1.0435231368960156,1.0405209090668186,0.04352313689601561,-0.09825430047133699,0.5675675675675675,1.217342193529374,0.0013301110626659737,0.013126198395275365,0.014152253561383853,0.9274988141176184,-0.030534993377596048,0.07755944026126306,20,17,1.1764705882352942,0.5405405405405406,0.4594594594594595,0.55,0.5882352941176471,1.3352887743412727,0.6253810426319525,39
pbm0p0100__both__ret192_ge_250__deadline9__maxholdnone,-0.01,both,ret192_ge_250,9,,5m_conservative,25,1.0905116917689595,1.084140173708606,0.09051169176895946,-0.07394444350516927,0.64,1.7589215985295195,0.003669498176483512,0.013288509500864971,0.013430966400194637,0.9893933991728546,-0.029084982812558686,0.07755944026126306,12,13,0.9230769230769231,0.48,0.52,0.6666666666666666,0.6153846153846154,1.617941291998159,0.6911825716615954,26
