config_id,trade_no,signal_ts,entry_ts,exit_ts,side,reason,bars_held,entry_price,exit_price,net_ret_1x,mae_1x,mfe_1x
pbm0p0100__both__none__deadline9__maxholdnone,1,2025-06-03 13:35:00+00:00,2025-06-03 13:40:00+00:00,2025-06-03 14:25:00+00:00,1,stop_arm_deadline,10,37.595296515,37.773969696,0.0039212474947154805,-0.008003283863340609,0.010605142716215044
pbm0p0100__both__none__deadline9__maxholdnone,2,2025-06-11 01:45:00+00:00,2025-06-11 01:50:00+00:00,2025-06-11 02:35:00+00:00,1,stop_arm_deadline,10,41.551537011,41.08884459200001,-0.011960091580630097,-0.015204415317753643,-0.001071849905051936
pbm0p0100__both__none__deadline9__maxholdnone,3,2025-06-13 05:40:00+00:00,2025-06-13 05:45:00+00:00,2025-06-13 06:30:00+00:00,-1,stop_market,10,39.323760282,38.781259043999995,0.012972159952188372,-0.008151452396432573,0.01952408102618397
pbm0p0100__both__none__deadline9__maxholdnone,4,2025-06-18 18:00:00+00:00,2025-06-18 18:05:00+00:00,2025-06-18 18:50:00+00:00,-1,stop_arm_deadline,10,38.69843198,38.57481356,0.0023664058211816078,-0.012936306121982726,0.012182198499506414
pbm0p0100__both__none__deadline9__maxholdnone,5,2025-06-18 21:05:00+00:00,2025-06-18 21:10:00+00:00,2025-06-18 21:55:00+00:00,-1,stop_arm_deadline,10,38.383769975,39.095676016,-0.019384072229638824,-0.020324900078409605,0.008278758840180811
pbm0p0100__both__none__deadline9__maxholdnone,6,2025-06-21 23:35:00+00:00,2025-06-21 23:40:00+00:00,2025-06-22 00:25:00+00:00,-1,stop_arm_deadline,10,32.760809892,33.68610452,-0.029084982812558686,-0.055638879331263894,0.004176022889879838
pbm0p0100__both__none__deadline9__maxholdnone,7,2025-06-22 02:00:00+00:00,2025-06-22 02:05:00+00:00,2025-06-22 02:50:00+00:00,1,stop_arm_deadline,10,33.707128983000004,33.19876216,-0.01590494722340927,-0.029640792776926897,0.0014202045218429937
pbm0p0100__both__none__deadline9__maxholdnone,8,2025-06-23 14:30:00+00:00,2025-06-23 14:35:00+00:00,2025-06-23 15:20:00+00:00,1,stop_arm_deadline,10,35.844419838,35.09426244,-0.02174879461040595,-0.026120750073497803,-0.0010439515597997495
pbm0p0100__both__none__deadline9__maxholdnone,9,2025-06-23 22:00:00+00:00,2025-06-23 22:05:00+00:00,2025-06-23 22:50:00+00:00,1,stop_arm_deadline,10,37.568267544,37.57491716,-0.0006523951482379648,-0.0096849196104485,0.02429530334160357
pbm0p0100__both__none__deadline9__maxholdnone,10,2025-08-15 12:30:00+00:00,2025-08-15 12:35:00+00:00,2025-08-15 13:20:00+00:00,1,stop_arm_deadline,10,48.524010456000006,48.628834624,0.0013300351989964361,-0.012182247102619186,0.002493395390508857
pbm0p0100__both__none__deadline9__maxholdnone,11,2025-10-10 22:20:00+00:00,2025-10-10 22:25:00+00:00,2025-10-10 23:15:00+00:00,-1,stop_market,11,39.401676588,39.07066476357143,0.007575118785337191,-0.01684349043835233,0.028290080131754713
pbm0p0100__both__none__deadline9__maxholdnone,12,2025-10-10 23:45:00+00:00,2025-10-10 23:50:00+00:00,2025-10-11 00:35:00+00:00,-1,stop_arm_deadline,10,38.875242059,38.023959024,0.021077577092108283,-0.005373034064100072,0.042115289121935184
pbm0p0100__both__none__deadline9__maxholdnone,13,2025-10-19 08:20:00+00:00,2025-10-19 08:25:00+00:00,2025-10-19 09:10:00+00:00,-1,stop_market,10,36.3609428,35.89766337142857,0.011917088690386867,-0.0021763648055475185,0.017654734739166233
pbm0p0100__both__none__deadline9__maxholdnone,14,2025-10-21 22:00:00+00:00,2025-10-21 22:05:00+00:00,2025-10-21 22:40:00+00:00,-1,stop_market,8,36.213101604,35.74074052428571,0.012220013906936564,-0.0014888138765876285,0.017952110567855617
pbm0p0100__both__none__deadline9__maxholdnone,15,2025-10-23 14:20:00+00:00,2025-10-23 14:25:00+00:00,2025-10-23 15:10:00+00:00,1,stop_market,10,40.19408202300001,40.568975239857146,0.008493884782991429,-0.006039420270938415,0.015025047136402181
pbm0p0100__both__none__deadline9__maxholdnone,16,2025-11-07 14:40:00+00:00,2025-11-07 14:45:00+00:00,2025-11-07 15:30:00+00:00,1,stop_arm_deadline,10,39.95082128400001,40.476683024,0.012327945954635617,-0.006592789220832188,0.02228186273498478
pbm0p0100__both__none__deadline9__maxholdnone,17,2025-12-16 14:05:00+00:00,2025-12-16 14:10:00+00:00,2025-12-16 14:55:00+00:00,1,stop_market,10,27.259217790000005,27.442564353428576,0.0058939274037492625,-0.005778637310725824,0.012281431278736488
pbm0p0100__both__none__deadline9__maxholdnone,18,2025-12-18 02:20:00+00:00,2025-12-18 02:25:00+00:00,2025-12-18 03:05:00+00:00,-1,stop_market,9,24.350843478999998,24.31422220742857,0.0006752025511471635,-0.0022690743228588476,0.005866058772181271
pbm0p0100__both__none__deadline9__maxholdnone,19,2025-12-19 14:40:00+00:00,2025-12-19 14:45:00+00:00,2025-12-19 15:30:00+00:00,1,stop_arm_deadline,10,24.313059951000003,24.114364512,-0.008998308676551318,-0.016992580824607764,0.01624394666059925
pbm0p0100__both__none__deadline9__maxholdnone,20,2025-12-19 16:00:00+00:00,2025-12-19 16:05:00+00:00,2025-12-19 16:50:00+00:00,1,stop_arm_deadline,10,24.200939775000002,24.3064152,0.003527189538593839,-0.005907827123285429,0.018431524938580468
pbm0p0100__both__none__deadline9__maxholdnone,21,2026-01-27 18:00:00+00:00,2026-01-27 18:05:00+00:00,2026-01-27 19:00:00+00:00,1,stop_market,12,28.031045073000005,28.33296007014286,0.009936947557898411,-0.008942530049901325,0.01990489207758528
pbm0p0100__both__none__deadline9__maxholdnone,22,2026-01-28 22:40:00+00:00,2026-01-28 22:45:00+00:00,2026-01-28 23:30:00+00:00,-1,stop_arm_deadline,10,33.020530912,34.001021359999996,-0.030534993377596048,-0.034650000864107314,-0.0010741525657029793
pbm0p0100__both__none__deadline9__maxholdnone,23,2026-01-30 18:25:00+00:00,2026-01-30 18:30:00+00:00,2026-01-30 19:05:00+00:00,1,stop_market,8,29.688821961000002,32.01705741514286,0.07755944026126306,-0.005461071074020733,0.0891978146683865
pbm0p0100__both__none__deadline9__maxholdnone,24,2026-01-31 18:00:00+00:00,2026-01-31 18:05:00+00:00,2026-01-31 18:40:00+00:00,-1,stop_market,8,28.378517143,28.164241248285713,0.006724445799515383,-0.012800187137652424,0.03388186698250972
pbm0p0100__both__none__deadline9__maxholdnone,25,2026-02-01 23:10:00+00:00,2026-02-01 23:15:00+00:00,2026-02-02 00:00:00+00:00,1,stop_arm_deadline,10,30.064224336000002,30.609078664000002,0.017286175450068702,-0.009802042566620444,0.037844836816148364
pbm0p0100__both__none__deadline9__maxholdnone,26,2026-02-02 03:45:00+00:00,2026-02-02 03:50:00+00:00,2026-02-02 04:35:00+00:00,1,stop_arm_deadline,10,31.605876756,31.320266368000002,-0.009862198331123333,-0.016420442764296342,0.015285867490079541
pbm0p0100__both__none__deadline9__maxholdnone,27,2026-02-02 06:15:00+00:00,2026-02-02 06:20:00+00:00,2026-02-02 07:05:00+00:00,1,stop_arm_deadline,10,30.893112780000003,30.398022960000002,-0.01684857354447391,-0.045768225711396396,0.00022293706849940698
pbm0p0100__both__none__deadline9__maxholdnone,28,2026-02-05 18:15:00+00:00,2026-02-05 18:20:00+00:00,2026-02-05 19:05:00+00:00,-1,stop_arm_deadline,10,32.494096383000006,32.823332352,-0.010965702059321757,-0.013921841563775643,0.012312894572729993
