label,reason_counts,trades,total_return,max_dd,avg_trade,win_rate,profit_factor,payoff_ratio,worst_trade,best_trade,trigger_atr,lock_atr,trail_atr,max_hold_bars
fixed_tp25_3x,"{""stop_market"": 2, ""target"": 87, ""time_open"": 68}",157.0,4.08946063431773,-0.2562982919069061,0.011512907806098472,0.6369426751592356,1.7732692611737462,1.0107634788690352,-0.14810811847370753,0.09230243912687061,,,,
trigger3_lock2.5_trail1_max72,"{""stop_market"": 7, ""time_open_triggered"": 1, ""time_open_untriggered"": 39, ""trail_gap_open"": 25, ""trail_stop"": 51}",123.0,3.196920924584223,-0.4156840377345714,0.013866139967246678,0.7073170731707317,1.6554871701612828,0.6850291738598412,-0.18502896178922504,0.12750249747557815,3.0,2.5,1.0,72.0
trigger3_lock2.5_trail6_max72,"{""stop_market"": 8, ""time_open_triggered"": 6, ""time_open_untriggered"": 33, ""trail_gap_open"": 15, ""trail_stop"": 47}",109.0,3.091503214064214,-0.4102577092829135,0.015862346591015423,0.6788990825688074,1.6960807652255012,0.8022003619309802,-0.18502896178922504,0.24899438543296104,3.0,2.5,6.0,72.0
trigger3_lock2.5_trail2.5_max36,"{""stop_market"": 2, ""time_open_triggered"": 2, ""time_open_untriggered"": 72, ""trail_gap_open"": 17, ""trail_stop"": 49}",142.0,2.988997552206733,-0.31888792038216496,0.01130116797207856,0.5915492957746479,1.6746344482485125,1.15629521426683,-0.14810811847370753,0.27123049844998104,3.0,2.5,2.5,36.0
trigger3_lock2.5_trail2.5_max72,"{""stop_market"": 8, ""time_open_triggered"": 2, ""time_open_untriggered"": 37, ""trail_gap_open"": 17, ""trail_stop"": 53}",117.0,2.915312939178361,-0.4044126573631103,0.014313402356151311,0.6923076923076923,1.6424185454879177,0.72996379799463,-0.18502896178922504,0.27123049844998104,3.0,2.5,2.5,72.0
trigger3_lock2.5_trail2_max72,"{""stop_market"": 9, ""time_open_triggered"": 2, ""time_open_untriggered"": 37, ""trail_gap_open"": 19, ""trail_stop"": 53}",120.0,2.865424218920995,-0.477684158078708,0.013859245119695737,0.6916666666666667,1.611148878945084,0.7182229942285314,-0.18502896178922504,0.28535406805761865,3.0,2.5,2.0,72.0
trigger3_lock2.5_trail1.5_max72,"{""stop_market"": 7, ""time_open_triggered"": 1, ""time_open_untriggered"": 39, ""trail_gap_open"": 22, ""trail_stop"": 52}",121.0,2.8521484205408125,-0.4033039430654668,0.013380739671787486,0.7024793388429752,1.6222558614438678,0.6870730707291676,-0.18502896178922504,0.114175864320821,3.0,2.5,1.5,72.0
trigger3_lock2.5_trail4_max72,"{""stop_market"": 8, ""time_open_triggered"": 2, ""time_open_untriggered"": 36, ""trail_gap_open"": 17, ""trail_stop"": 51}",114.0,2.8125418162259908,-0.43380690999747307,0.014428781544137261,0.6929824561403509,1.6530501312710515,0.7323639822086937,-0.18502896178922504,0.25157731382726206,3.0,2.5,4.0,72.0
trigger3_lock2.5_trail5_max72,"{""stop_market"": 8, ""time_open_triggered"": 4, ""time_open_untriggered"": 34, ""trail_gap_open"": 15, ""trail_stop"": 49}",110.0,2.7894295102242217,-0.41198072509207506,0.015019934608673657,0.6727272727272727,1.648787853368513,0.8021130097468441,-0.18502896178922504,0.23529211112665982,3.0,2.5,5.0,72.0
trigger3_lock2.5_trail1_max36,"{""stop_market"": 2, ""time_open_untriggered"": 72, ""trail_gap_open"": 24, ""trail_stop"": 48}",146.0,2.764243479057746,-0.29460649368873004,0.010439782693486934,0.5958904109589042,1.6177177182552283,1.0970729353684883,-0.14810811847370753,0.12750249747557815,3.0,2.5,1.0,36.0
