trade_no,signal_ts,entry_ts,exit_ts,side,reason,bars_held,entry_price,exit_price,net_ret_1x,net_ret_3x,mae_1x,mfe_1x,signal_atr14,signal_atr_bps,dir_ret192_bps
1,2025-06-02 21:35:00+00:00,2025-06-02 21:40:00+00:00,2025-06-02 22:00:00+00:00,1,target,5,35.58313978500001,36.16429178104611,0.015496134274602754,0.04648840282380826,-0.004577862925331592,0.01640833885170867,0.2286428571428582,64.32490002612413,
2,2025-06-03 00:45:00+00:00,2025-06-03 00:50:00+00:00,2025-06-03 03:50:00+00:00,1,time_open,37,36.461080806,35.96949344,-0.014306255089924119,-0.042918765269772355,-0.021727271601694423,0.0063058798290522855,0.26649999999999857,73.149978041282,
3,2025-06-03 05:55:00+00:00,2025-06-03 06:00:00+00:00,2025-06-03 09:00:00+00:00,1,time_open,37,36.275882301,36.426614088,0.0033241059043635436,0.009972317713090631,-0.014553043852330598,0.007335940082501047,0.14650000000000066,40.43052297502433,
4,2025-06-03 11:10:00+00:00,2025-06-03 11:15:00+00:00,2025-06-03 14:15:00+00:00,1,time_open,37,37.683390939000006,37.390868584,-0.008588737313778872,-0.025766211941336617,-0.015471452243486021,0.008242598483315655,0.2550000000000005,67.74167839970261,
5,2025-06-09 20:55:00+00:00,2025-06-09 21:00:00+00:00,2025-06-09 22:00:00+00:00,1,target,13,38.03076327000001,38.603630510074716,0.0142276903055964,0.042683070916789204,-0.0018809287534841273,0.020910354187587465,0.22507142857142778,59.24491407513234,
6,2025-06-09 23:25:00+00:00,2025-06-09 23:30:00+00:00,2025-06-10 00:25:00+00:00,1,target,12,38.489254704000004,39.06903049152757,0.014227746718657884,0.042683240155973655,-0.0026296874176681287,0.0161537369528586,0.2277857142857138,59.23743642517197,
7,2025-06-10 00:40:00+00:00,2025-06-10 00:45:00+00:00,2025-06-10 02:00:00+00:00,1,target,16,38.767552998000006,39.41867106627719,0.01595915187490664,0.04787745562471993,-0.005716853017712646,0.017964688202939172,0.25628571428571384,66.17240234591115,
8,2025-06-10 11:35:00+00:00,2025-06-10 11:40:00+00:00,2025-06-10 14:40:00+00:00,1,time_open,37,41.646638946,40.102584288,-0.0378890815202644,-0.11366724456079319,-0.03940073526766298,0.00548330092846383,0.32928571428571524,79.15521978022001,
9,2025-06-13 23:15:00+00:00,2025-06-13 23:20:00+00:00,2025-06-14 02:20:00+00:00,1,time_open,37,42.046067073,41.902059224,-0.0042529040536935046,-0.012758712161080514,-0.012355542062663887,0.014744135900360611,0.2519999999999994,59.99142979574332,
10,2025-06-16 05:40:00+00:00,2025-06-16 05:45:00+00:00,2025-06-16 06:15:00+00:00,1,target,7,43.479603609,44.07605804578135,0.01288301743459912,0.038649052303797365,-0.0017855019822026346,0.01955851296730704,0.23392857142857235,53.858399279037705,
11,2025-06-16 06:55:00+00:00,2025-06-16 07:00:00+00:00,2025-06-16 10:00:00+00:00,1,time_open,37,44.37556394400001,44.500745095999996,0.001990455497046504,0.005971366491139512,-0.008066709280990863,0.011547708027928705,0.2554999999999999,57.63981320639789,
12,2025-06-16 12:40:00+00:00,2025-06-16 12:45:00+00:00,2025-06-16 14:00:00+00:00,1,target,16,44.51671523700001,45.01788253553686,0.010423966871420816,0.031271900614262445,-0.006675573319243081,0.017258343498835593,0.19571428571428587,44.00941865806613,
13,2025-06-16 14:40:00+00:00,2025-06-16 14:45:00+00:00,2025-06-16 17:45:00+00:00,1,time_open,37,45.27052320600001,44.663788128,-0.014226196470066788,-0.04267858941020036,-0.017435078823927266,0.007057059900682949,0.3682142857142863,81.42730776521148,
14,2025-06-23 05:35:00+00:00,2025-06-23 05:40:00+00:00,2025-06-23 06:05:00+00:00,1,target,6,35.55310759500001,35.94402288397651,0.01016136758684936,0.030484102760548082,-0.005958694120768341,0.010938351984024264,0.15257142857142725,42.95729610367633,
15,2025-07-11 05:00:00+00:00,2025-07-11 05:05:00+00:00,2025-07-11 06:20:00+00:00,1,target,16,45.353612265,45.82142021292368,0.00948107918998686,0.02844323756996058,-0.0051245896789245,0.01736108097408673,0.18228571428571477,40.23434297570185,
16,2025-07-11 06:40:00+00:00,2025-07-11 06:45:00+00:00,2025-07-11 09:45:00+00:00,1,time_open,37,46.025332248000005,45.94712684,-0.0025277998608205727,-0.007583399582461718,-0.021236504439277284,0.007184472894584459,0.27335714285714374,59.45648661413428,
17,2025-08-08 00:35:00+00:00,2025-08-08 00:40:00+00:00,2025-08-08 03:40:00+00:00,1,time_open,37,41.108061672000005,40.898794432,-0.005917873540102114,-0.017753620620306342,-0.018393170682038065,0.001336436839040056,0.22357142857142723,54.44197841801666,
