ts,buy_hold,v10,v10_no_mfeu,v10_no_range,melt_long,rs4_w1,rs4_w0_5,rs4_no_er,rs4_melt_both,rs4_no_donchian
2025-05-30 12:00:00+00:00,1.0022829358954772,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-05-30 18:00:00+00:00,0.9941171704458851,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-05-31 00:00:00+00:00,0.9504134722395907,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-05-31 06:00:00+00:00,0.9501237308658221,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-05-31 12:00:00+00:00,0.9848767459717487,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-05-31 18:00:00+00:00,0.9896744855971388,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-01 00:00:00+00:00,1.002237632408308,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-01 06:00:00+00:00,0.964447241582605,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-01 12:00:00+00:00,1.0027857291691062,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-01 18:00:00+00:00,1.0343527770429686,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-02 00:00:00+00:00,0.9968193138807021,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-02 06:00:00+00:00,0.9888409438287442,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-02 12:00:00+00:00,1.0266240750855793,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-02 18:00:00+00:00,1.1037546145249404,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-03 00:00:00+00:00,1.096382098331356,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-03 06:00:00+00:00,1.1350245417969003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-03 12:00:00+00:00,1.1138539681973256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-03 18:00:00+00:00,1.0917147572608685,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-04 00:00:00+00:00,1.1057008141364448,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-04 06:00:00+00:00,1.1072484761990296,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-04 12:00:00+00:00,1.1106156704698102,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-04 18:00:00+00:00,1.0775669417682388,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-05 00:00:00+00:00,1.0593562995246708,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-05 06:00:00+00:00,1.0650152063170082,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-05 12:00:00+00:00,1.0269523147182265,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-05 18:00:00+00:00,1.0277248204303795,1.0,1.0,0.9982977686635673,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-06 00:00:00+00:00,1.0556998550849137,1.0,1.0,0.9711237488104588,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-06 06:00:00+00:00,1.0397357898876822,1.0,1.0,0.9858088723954602,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-06 12:00:00+00:00,1.0342276899870844,1.0,1.0,0.9910312892871944,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-06 18:00:00+00:00,1.0062222471102313,1.0,1.0,1.0178670339012774,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-07 00:00:00+00:00,1.0303912200939147,1.0,1.0,0.9934183587562059,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-07 06:00:00+00:00,1.021737512422102,1.0,1.0,1.001761551035838,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-07 12:00:00+00:00,1.0441206264372163,1.0,1.0,0.9798160486536864,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-07 18:00:00+00:00,1.0536954069320945,1.0,1.0,0.9708309531066039,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-08 00:00:00+00:00,1.0587503293576466,1.0,1.0,0.9699086637011527,1.0,1.0,1.0,1.0,1.0,1.0
2025-06-08 06:00:00+00:00,1.0706765266096177,1.0103144094847243,1.0103144094847243,0.9799126988213481,1.0,1.0103144094847243,1.0103144094847243,1.0103144094847243,1.0103144094847243,1.0103144094847243
2025-06-08 12:00:00+00:00,1.083483353655813,1.0223992190261475,1.0223992190261475,0.991633860294753,1.0,1.0223992190261475,1.0223992190261475,1.0223992190261475,1.0223992190261475,1.0223992190261475
2025-06-08 18:00:00+00:00,1.055348644506927,0.9958506757889186,0.9958506757889186,0.96588419820032,1.0,0.9958506757889186,0.9958506757889186,0.9958506757889186,0.9958506757889186,0.9958506757889186
2025-06-09 00:00:00+00:00,1.056301934195248,0.9967502213422089,0.9967502213422089,0.9667566752258501,1.0,0.9967502213422089,0.9967502213422089,0.9967502213422089,0.9967502213422089,0.9967502213422089
2025-06-09 06:00:00+00:00,1.1287241654358362,1.065089464774674,1.065089464774674,1.0330394995017802,1.0,1.065089464774674,1.065089464774674,1.065089464774674,1.065089464774674,1.065089464774674
2025-06-09 12:00:00+00:00,1.1487573877799173,1.064077629783138,1.064077629783138,1.0513744573395496,1.0,1.064077629783138,1.064077629783138,1.0819695931841264,1.064077629783138,1.064077629783138
2025-06-09 18:00:00+00:00,1.1714374694775482,1.064077629783138,1.064077629783138,1.072131893888747,1.0,1.064077629783138,1.064077629783138,1.1033310738838873,1.064077629783138,1.064077629783138
2025-06-10 00:00:00+00:00,1.1746071534739349,1.064077629783138,1.064077629783138,1.0750328761388628,1.0,1.064077629783138,1.064077629783138,1.1063164751013894,1.064077629783138,1.064077629783138
2025-06-10 06:00:00+00:00,1.2536354822728215,1.064077629783138,1.064077629783138,1.147361783172886,1.0,1.064077629783138,1.064077629783138,1.1807501629019108,1.064077629783138,1.064077629783138
2025-06-10 12:00:00+00:00,1.204489287464287,1.064077629783138,1.064077629783138,1.1023818296624357,0.9598470614237614,1.0213517860741061,1.042714707928622,1.1344612867917836,1.0213517860741061,1.0213517860741061
2025-06-10 18:00:00+00:00,1.2726440856840027,1.064077629783138,1.064077629783138,1.1647589814923993,1.0141590287230664,1.07914393550681,1.0722151822205999,1.1986536219948194,1.07914393550681,1.07914393550681
