ts,regular_dynamic_target125bps_max2,regular_dynamic_target125bps_max3,regular_dynamic_target150bps_max2,regular_dynamic_target150bps_max3,regular_dynamic_target200bps_max2,regular_dynamic_target200bps_max3,premarket_regular_dynamic_target125bps_max2,premarket_regular_dynamic_target125bps_max3,premarket_regular_dynamic_target150bps_max2,premarket_regular_dynamic_target150bps_max3,premarket_regular_dynamic_target200bps_max2,premarket_regular_dynamic_target200bps_max3,extended_day_dynamic_target125bps_max2,extended_day_dynamic_target125bps_max3,extended_day_dynamic_target150bps_max2,extended_day_dynamic_target150bps_max3,extended_day_dynamic_target200bps_max2,extended_day_dynamic_target200bps_max3
2025-07-24 15:45:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-07-24 16:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-07-24 16:15:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-07-24 16:30:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-07-24 16:45:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-07-24 17:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-07-24 17:15:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-07-24 17:30:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-07-24 17:45:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-07-24 18:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
